DATA_EMISSAO;SKU;DESCRI_SKU;QUANTIDADE_VENDIDA;VALOR_TOTAL;PRECO_UNITARIO
20251121;0018682458002                 ;MALA DOWNTOWN PEQ 18,5  PRETO PP                                      ;197;35016,18;177,7471066
20250912;0018601458003                 ;MALA SEUL PEQ  PRETO P                                                ;27;16285,71;603,1744444
20250721;0018465651003                 ;MALA DE VIAGEM MICKEY 3D PEQ  VERMELHO P                              ;1;399,9;399,9
20250306;0018433586003                 ;MALA DE VIAGEM MONTE CARLO II PEQUENA  ROSE P                         ;20;10160,67;508,0335
20250504;0018405458003                 ;MALA TURQUIA PEQ 20  PRETO P                                          ;17;6308,4;371,0823529
20250411;0018598458002                 ;"MALA HONG KONG PEQ 19""  PRETO PP                                      ";26;10120,52;389,2507692
20251002;0018684560003                 ;MALA TURQUIA II PEQ  ROSA P                                           ;3;1242,61;414,2033333
20250603;0018610561003                 ;MALA MALTA PEQ  ROSA ESCURO P                                         ;3;1082,28;360,76
20250716;0018975458003                 ;MALA DE VIAGEM BOTAFOGO DE BORDO 10 KG ABS OFICIAL  PRETO P           ;2;999,8;499,9
20251227;0018405034003                 ;MALA TURQUIA PEQ 20  AZUL ACINZENTADO P                               ;3;712,83;237,61
20251211;0018682458002                 ;MALA DOWNTOWN PEQ 18,5  PRETO PP                                      ;147;24389,66;165,9160544
20250908;0018890586003                 ;"MALA POLO KING CABO FRIO 20"" PEQ  ROSE P                              ";6;1799,4;299,9
20250709;0018553458003                 ;MALA ROVER PEQ  PRETO P                                               ;12;5323,85;443,6541667
20250731;0018592440003                 ;MALA DETROIT PEQ  PRATA P                                             ;18;5123,57;284,6427778
20250927;0018968458003                 ;MALA BRIEFCASE ADVANCED PRETA P  PRETO P                              ;2;1479,81;739,905
20260225;0018592454003                 ;MALA DETROIT PEQ  PRETA P                                             ;78;21439,92;274,8707692
20250620;0018433440003                 ;MALA DE VIAGEM MONTE CARLO II PEQUENA  PRATA P                        ;12;5901,88;491,8233333
20250502;0018610038003                 ;MALA MALTA PEQ  AZUL MARINHO P                                        ;16;7256,88;453,555
20250413;0018457184003                 ;MALA SWISS ONE VERBIER II PEQ 20  CINZA/CINZA P                       ;12;7058,88;588,24
20251104;0018902170003                 ;"MALA POLO KING ORLANDO 20"" PEQ  CHAMPAGNE P                           ";2;599,8;299,9
20260122;0018981458003                 ;MALA MY WAY PEQ 20  PRETO P                                           ;4;1899,62;474,905
20250713;0018610033003                 ;MALA MALTA PEQ  AZUL CLARO P                                          ;3;1509,71;503,2366667
20250718;0018684458003                 ;MALA TURQUIA II PEQ  PRETO P                                          ;11;4899;445,3636364
20250616;0018605624003                 ;MALA ZURIQUE PEQ  VERDE P                                             ;4;3265,97;816,4925
20251003;0018892440003                 ;"MALA POLO KING CANES 21"" PEQ  PRATA P                                 ";5;1249,5;249,9
20250527;0018553394003                 ;MALA ROVER PEQ  OFF WHITE P                                           ;17;5986,79;352,1641176
20250520;0018630458003                 ;MALA LYON PEQ  PRETO P                                                ;30;10969,58;365,6526667
20250728;0018973030003                 ;MALA STITCH PEQ  AZUL P                                               ;2;999,8;499,9
20251223;0018447030003                 ;MALA SWISS ONE MONTREUX PEQ  AZUL P                                   ;6;3271,91;545,3183333
20250413;0018601458003                 ;MALA SEUL PEQ  PRETO P                                                ;13;7240,55;556,9653846
20250722;0018598458002                 ;"MALA HONG KONG PEQ 19""  PRETO PP                                      ";4;2242,15;560,5375
20251102;0018988458003                 ;MALA SANTIAGO PEQ  PRETO P                                            ;25;8986,77;359,4708
20251124;0018462651003                 ;MALA DE VIAGEM MINNIE 3D PEQ  VERMELHO P                              ;1;249,9;249,9
20250609;0018610458003                 ;MALA MALTA PEQ  PRETO P                                               ;47;20729,56;441,0544681
20250412;0018592586003                 ;MALA DETROIT PEQ  ROSE P                                              ;44;13153,2;298,9363636
20250507;0018592840003                 ;MALA DETROIT PEQ  LILAS/PRETO P                                       ;19;5323,36;280,1768421
20250528;0018601588003                 ;MALA SEUL PEQ  ROXO P                                                 ;12;6226,07;518,8391667
20260211;0018643667003                 ;MALA ROUTE PEQ  VINHO P                                               ;53;15550,52;293,4060377
20250620;0018553586003                 ;MALA ROVER PEQ  ROSE P                                                ;6;2774,43;462,405
20250525;0018592440003                 ;MALA DETROIT PEQ  PRATA P                                             ;5;1568,03;313,606
